Authors,Dates
"['Long M A', 'Handwerger B S', 'Amos D B', 'Yunis E J']",1976-12-1
"['Janossy G', 'Roberts M', 'Greaves M F']",1976-11-13
[],1976-11-27
"['Elder G H', 'Evans J O', 'Thomas N']",1976-12-4
"['Hansen J A', ""O'Reilly R J"", 'Good R A', 'Dupont B']",1976-12-1
"['DuPont B', 'Hansen J A']",1976-1-1
['Bach F H'],1976-12-1
"['Lin M S', 'Alfi O S', 'Donnell G N']",1976-9-1
"['Cadotte M', 'Barbeau A', 'Breton G']",1976-11-1
"['Lozzio C B', 'Lozzio B B', 'Yang W K', 'Ichiki A T', 'Bamberger E G']",1976-12-1
['Sachs D H'],1976-1-1
['Gottlieb P D'],1976-1-1
"['Silver J', 'Hood L']",1976-1-1
"['Erickson R P', 'Pickart L', 'Thaler M M']",1976-1-1
"['Lin M S', 'Alfi O S']",1976-9-10
"['Wang H C', 'Mukerji S']",1976-11-19
"['Allen J W', 'Latt S A']",1976-11-29
"['Viegas-Péquignot E', 'Dutrillaux B']",1976-12-15
"['Freed J H', 'Deak B D', 'McDevitt H O']",1976-11-1
"['Stout R D', 'Murphy D B', 'McDevitt H O', 'Herzenberg L A']",1977-1-1
"['Serjeantson S', 'Lawrence G']",1977-1-1
"['Absatz M', 'Borgaonkar K S']",1977-1-8
"['Buckton K E', ""O'Riordan M L""]",1976-12-25
"['Oshimura M', 'Sandberg A A']",1976-12-25
['Endo H'],1976-1-1
"['Alexander J J', 'Bey E M', 'Geddes E W', 'Lecatsas G']",1976-12-18
"['Goodpasture C', 'Bloom S E', 'Hsu T C', 'Arrighi F E']",1976-11-1
"['Charlier D', 'Crabeel M', 'Glansdorff N', 'Palchaudhuri S']",1976-1-1
"['Crabeel M', 'Charlier D', 'Glansdorff N', 'Maas W K']",1976-1-1
"['Kirchner M', 'Hofmann A']",1976-1-1
['Whang-Peng J'],1977-1-1
"['Patil S R', 'Hecht F', 'Lubs H A', 'Kimberling W', 'Brown J', 'Gerald P S', 'Summitt R L']",1977-1-15
"['Mole R H', 'Papworth D G']",1977-2-5
"['Bomford A', 'Eddleston A L', 'Kennedy L A', 'Batchelor J R', 'Williams R']",1977-2-12
"['Romeo G', 'Borrone C', 'Gatti R', 'Durand P']",1977-2-12
"['Maier P', 'Schmid W']",1976-11-1
['Srám R J'],1976-11-1
['Terasaki P I'],1976-11-1
"['Noël B', 'Quack B', 'Mottet J', 'Nantois Y', 'Dutrillaux B']",1977-2-1
"['Kozak C A', 'Lawrence J B', 'Ruddle F H']",1977-3-1
"['Wakeland E K', 'Benedict A A', 'Abplanalp H A']",1977-2-1
"['Neu R L', 'Ortega C C', 'Barg G A', 'Pinto W', 'Gardner L I', 'Howell W M', 'Denton T E']",1976-12-1
['Stroup M'],1977-3-1
"['Rausen A R', 'Kim H J', 'Burnstein Y', 'Rand S', 'McCaffrey R M', 'Kung P C']",1977-2-19
"['Warren R P', 'Nguyen D D', 'Storb R', 'Thomas E D']",1977-3-5
"['Rowley J D', 'Golomb H M', 'Dougherty C']",1977-3-5
"['Pescia G', 'Jotterand M']",1977-3-5
['Bartsch-Sandhoff M'],1977-3-5
"['Weise W', 'Bernoth E', 'Quent P', 'Weise G']",1977-1-1
"['Peterson P A', 'Sege K', 'Anundi H']",1976-1-1
['Theile U'],1977-3-10
"['Fathman C G', 'Collavo D', 'Davies S', 'Nabholz M']",1977-4-1
"['Hansen T H', 'Cullen S E', 'Shinohara N', 'Schurko E', 'Sachs D H']",1977-4-1
"['Schmitt-Verhulst A M', 'Garbarino C A', 'Shearer G M']",1977-4-1
"['Simon M', 'Bourel M', 'Genetet B', 'Fauchet R']",1977-3-26
['Schmid W'],1977-3-12
"['Opelz G', 'Vogten A J', 'Summerskill W H', 'Schalm S W', 'Terasaki P I']",1977-1-1
"['Lamm L', 'Jorgensen F', 'Thorsby E']",1977-1-1
"['Sasazuki T', 'McMichael A', 'Payne R', 'McDevitt H O', 'Yakura H', 'Wakisaka A', 'Aizawa M', 'Itakura K']",1977-1-1
['Gurbanov V P'],1976-10-1
"['Hollán S R', 'Lanh D H', 'Földi J', 'Horányi M', 'Szelényi J G']",1975-1-1
['Kuwert E K'],1977-1-1
['Svejgaard A'],1977-1-1
"['Peterson P A', 'Rask L', 'Ostberg L']",1977-1-1
"['Jones E A', 'Goodefellow P', 'Kennett R H', 'Bodmer W F']",1976-1-1
"['Kucherlapati R S', 'Faber H E', 'Poulik M D', 'Ruddle F H', 'Simithes O']",1976-1-1
"['Schacter B', 'Kucherlapati R S', 'Ruddle F H']",1976-1-1
"['Ferguson-Smith M A', 'Aitken D A']",1976-1-1
"['Drew S I', 'Terasaki P I', 'Billing R J', 'Bergh O J', 'Minowada J', 'Klein E']",1977-5-1
"['Jost J P', 'Schuerch A R', 'Walz A']",1977-3-15
['Owens I S'],1977-5-10
"['Ash P', 'Vennart J', 'Carter C O']",1977-4-16
[],1977-4-30
['Edwards J H'],1977-5-7
['Fanetti G'],1976-9-1
"['Payne R', 'Feldman M', 'Cann H', 'Bodmer J G']",1977-3-1
"['Albrechtsen D', 'Solheim B G', 'Thorsby E']",1977-3-1
"['Singal D P', 'Naipaul N', 'Hidalgo R']",1977-3-1
"['Hunter S V', 'Duquesnoy R J']",1977-3-1
"['Dupont B', 'Hansen J A', 'Whitsett C', 'Slater L', 'Lee T D']",1977-3-1
"['Fotino M', 'Khan R', 'Suciu-Foca N', 'Rubinstein P']",1977-3-1
"['Georgieva V L', 'Tsoneva M T']",1976-12-1
"['Simpson J L', 'Martin A O']",1977-5-15
['Gencík A'],1977-5-1
"['Ahmed A', 'Scher I', 'Sell K W']",1977-4-1
"['Hansen T H', 'Cullen S E', 'Melvold R', 'Kohn H', 'Flaherty L', 'Sachs D H']",1977-6-1
['Wyatt P R'],1977-6-18
['Vig B K'],1977-1-1
"['Coffin J M', 'Haseltine W A']",1977-5-1
"['Festenstein H', 'Halim K']",1977-3-1
"['Thorsby E', 'Albrechtsen D', 'Hirschberg H', 'Kaakinen A', 'Solheim B G']",1977-3-1
"['Terasaki P I', 'Park M S', 'Opelz G', 'Saito S', 'Mickey M R']",1977-3-1
"['Salvatierra O', 'Perkins H A', 'Cochrum K C', 'Duca R M', 'Potter D E', 'Amend W J', 'Feduska N J']",1977-3-1
"['Bias W B', 'Chase G A']",1977-3-1
"['McKenzie I F', 'Morgan G M', 'Blanden R V', 'Melvold R', 'Kohn H']",1977-3-1
"['Scher I', 'Ahmed A', 'Sharrow S', 'Sell K W']",1977-3-1
['Balner H'],1977-3-1
"[""Prokof'eva-Bel'govskaia A A"", 'Zakharov A F']",1976-1-1
"['Bondarenko V M', 'Petrovskaia V G']",1977-4-1
"['Wolman S R', 'Cohen T I', 'Becker F F']",1977-8-1
"['Snellings N J', 'Johnson E M', 'Baron L S']",1977-7-1
"['Monahan J J', 'Woo S L', 'Liarakos C D', ""O'Malley B W""]",1977-7-10
"['Sachs D H', 'Humphrey G W', 'Lunney J K']",1977-8-1
"['Cohen J E', ""D'Eustachio P"", 'Edelman G M']",1977-8-1
"['Schwartz B D', 'Kask A M', 'Paul W E', 'Geczy A F', 'Shevach E M']",1977-8-1
"['Nakagome Y', 'Oka S', 'Higurashi M']",1977-7-16
"['Hester J P', 'Rossen R', 'Trujillo J', 'McCredie K B', 'Freireich E J']",1977-6-1
"['Solomon E', 'Bobrow M', 'Goodfellow P N', 'Bodmer W F', 'Swallow D M', 'Povey S', 'Noël B']",1976-3-1
"['Faber H E', 'Kucherlapati R S', 'Poulik M D', 'Ruddle F H', 'Smithies O']",1976-3-1
"['Rahimi A G', 'Goedde H W', 'Flatz G', 'Kaifie S', 'Benkmann H G', 'Delbrück H']",1977-7-1
"['Yunis J J', 'Chandler M E']",1977-8-1
"['Takagi N', 'Sasaki M', 'Ikuta K', 'Kato S']",1977-3-1
"['Zinkernagel R M', 'Doherty P C']",1977-1-1
"['Rajewsky K', 'Eichmann K']",1977-1-1
"['Shevach E M', 'Schwartz B D']",1977-8-1
"['Dev V G', 'Tantravahi R', 'Miller D A', 'Miller O J']",1977-6-1
"['Dutrillaux B', 'Couturier J', 'Viegas-Péquignot E', 'Schaison G']",1977-6-10
[],1977-7-30
"['Funes-Cravioto F', 'Zapata-Gayon C', 'Kolmodin-Hedman B', 'Lambert B', 'Lindsten J', 'Norberg E', 'Nordenskjöld M', 'Olin R', 'Swensson A']",1977-8-13
[],1977-8-13
['Puck T T'],1976-1-1
['Hirschhorn K'],1976-1-1
"['de Torok D', 'Johnson DeCrow C A']",1976-1-1
['Lawler S D'],1977-8-1
"['Selezneva T G', 'Chebotarev A N']",1976-10-1
"['Gurbanov V P', 'Barkhudarian A S', 'Malygina N A']",1976-10-1
['Seppälä M'],1977-9-1
"['van Rood J J', 'van Leeuwen A', 'Jonker M', 'Termijtelen A', 'Bradley B A']",1977-1-1
"['Fathman C G', 'Nabholz M']",1977-6-1
"['Kueppers F', 'Dewald G', 'Gordon H', 'Pineda A']",1977-1-1
"['Simpson E', 'Gordon R D']",1977-1-1
"['Russell M H', 'Engel E', 'Vaughn W K', 'McGee B J']",1977-6-1
"['Zack G W', 'Rogers W E', 'Latt S A']",1977-7-1
['Latt S A'],1977-7-1
"['Yano A', 'Schwartz R H', 'Paul W E']",1977-9-1
"['Akima M', 'Nonaka H', 'Senzui M', 'Kitazawa Y']",1977-7-20
"['Körner H', 'Halle H', 'Wagenknecht C']",1977-1-1
"['Naessens J', 'Hamers-Casterman C', 'Hamers R']",1977-4-1
['Benn P A'],1977-1-1
['Fabro S'],1976-12-1
"['Papiha S S', 'Nahar A']",1977-1-1
"['Schubert I', 'Rieger R']",1977-9-1
"['Balaban-Malenbaum G', 'Gilbert F']",1977-11-18
"['Tchun T S', 'Hahn S', 'Kim D S']",1976-1-1
"['Halbrecht I', 'Shabtai F', 'Kuperstain C']",1977-1-1
['Evans H J'],1977-1-1
"['Sells C J', 'Bennett F C']",1977-9-1
"['Nebert D W', 'Levitt R C', 'Orlando M M', 'Felton J S']",1977-11-1
"['Di Castro M', 'Prantera G', 'Marchetti E', 'Rocchi A']",1977-10-1
['Seng C T'],1977-6-1
"['Jongbloet P H', 'van Erkelens-Zweta J H']",1977-10-22
"['Catovsky D', 'Pittman S', 'Lewis D', 'Pearse E']",1977-10-29
"['Atkin N B', 'Baker M C']",1977-11-5
"['Kiricuţa I', 'Olinici C D', 'Munteanu S']",1977-10-1
"['Aula P', 'Karjalainen O', 'Rapola J', 'Lindgren J', 'Seppälä M']",1977-11-15
['Umezawa H'],1977-7-1
['Francke U'],1977-1-1
"['Izakovic V', 'Steruská M', 'Vojtassák J']",1977-1-1
"['Delovitch T L', 'Murphy D B', 'McDevitt H O']",1977-12-1
"['Fraccaro M', 'Zuffardi O', 'Buhler E M', 'Jurik L P']",1977-8-1
"['Constans J', 'Viau M']",1977-12-9
"['Haglund U', 'Lundell G', 'Zech L', 'Ohlin J']",1977-1-1
['Savage J R'],1977-10-1
"['Milet R G', 'Abt W', 'Gallegos D']",1976-6-12
['Hirschfeld J'],1977-11-1
"['Muir P D', 'Occomore M A', 'Thornley B', 'Singh S', 'Gunz F W']",1977-10-1
"['Lindsten J', 'Zetterström R', 'Ferguson-Smith M']",1976-1-1
"['Verma R S', 'Dosik H', 'Lubs H A']",1977-10-1
['Wolff S'],1977-1-1
"['Polani P E', 'Alberman E', 'Berry A C', 'Blunt S', 'Singer J D']",1976-9-4
"['Liang W', 'Rowley J D']",1978-1-14
"['Gahrton G', 'Friberg K', 'Zech L', 'Lindsten J']",1978-1-14
"['Mitelman F', 'Wadstein J']",1978-1-28
['Burghart-Czaplińska M'],1977-12-19
"['Miller W A', 'Erbe R W']",1978-2-1
['Knörr K'],1977-7-29
"['Janossy G', 'Goldstone A H', 'Capellaro D', 'Greaves M F', 'Kulenkampff J', 'Pippard M', 'Welsh K']",1977-11-1
"['Zaleski M', 'Klein J']",1978-1-1
"['Dresp J', 'Schmid E', 'Bauchinger M']",1978-1-1
"['Elejalde B R', 'Opitz J M']",1978-3-1
"['Jørgensen F', 'Kristensen T', 'Lamm L U', 'Kissmeyer-Nielsen F']",1977-11-1
"['Larsen B', 'Arnason A', 'Barnard J M', 'Buehler S K', 'Edwards J H', 'Marshall W H']",1977-11-1
"['Maurer B A', 'Jones J A', 'Neefe J R']",1978-1-1
"['Lloyd D C', 'Reeder E J']",1978-3-18
"['Padre-Mendoza T', 'Forman E N', 'Farnes P', 'Barker B E', 'Smith P S']",1978-3-25
"['Bostock C J', 'Gosden J R', 'Mitchell A R']",1978-3-23
"['Sasazuki T', 'Kohno Y', 'Iwamoto I', 'Tanimura M', 'Naito S']",1978-3-23
"['Yunis J J', 'Chandler M E']",1978-1-1
"['Khondkarian O A', 'Zavalishin I A']",1978-1-1
[],1978-4-29
"['Knight L A', 'Gardner H A', 'Gallie B L']",1978-5-6
['Tease C'],1978-4-27
['Omenn G S'],1978-5-26
"['Laundy G J', 'Entwistle C C', 'Hassenkamp K']",1978-2-1
"['Strimlan C V', 'Taswell H F', 'Kueppers F', 'DeRemee R A', 'McDonald T J']",1978-2-1
"['Tran M H', 'Hors J', 'Busson M', 'Degos L']",1978-2-1
"['Millot P', 'Dausset J']",1978-3-13
"['Galloway S M', 'Buckton K E']",1978-1-1
"['Oliver N', 'Francke U', 'Taylor K M']",1978-5-16
"['Okuda K', 'David C S']",1978-4-1
"['Pisetsky D S', 'Sachs D H']",1978-5-1
"['Brewerton D A', 'Webley M', 'Murphy A H', 'Ward A M']",1978-5-20
"['David C S', 'Cullen S E']",1978-5-1
"['Hansen T H', 'Levy R B']",1978-6-1
['Check W'],1978-7-28
"['De Ca Chapelle A', 'Vuopio P', 'Sanger R', 'Teesdale P']",1975-10-25
"['Jacobs P A', 'Hassold T J', 'Matsuyama A M', 'Newlands I M']",1978-7-1
"['Price W H', 'Renton W B', 'Campbell W A']",1978-7-1
"['Kirkland D J', 'Lawler S D', 'Venitt S']",1978-7-15
"['Migone N', 'Malavasi F', 'Boschis D', 'Modena V']",1978-7-15
"['Tanaka M', 'Fujiwara K', 'Matsumoto S']",1978-6-1
"['Crist W M', 'Ragab A H', 'Ducos R']",1978-4-1
"['Friend C', 'Marovitz W', 'Henie G', 'Henie W', 'Tsuei D', 'Hirschhorn K', 'Holland J G', 'Cuttner J']",1978-8-1
"['Korenberg J R', 'Therman E', 'Denniston C']",1978-7-12
['van Abbé N J'],1978-7-29
"['Mahour G H', 'Song M K', 'Adham N F', 'Rinderknecht H']",1978-6-1
['Jotterand-Bellomo M'],1978-7-25
"['Saichua S', 'Chiewsilp P']",1978-9-1
"['Colson A M', 'Slonimski P P']",1977-12-1
"['Schvartzman J B', 'Cortés F', 'López-Sáez J F']",1978-7-1
"['Kapp J A', 'Pierce C W', 'Theze J', 'Benacerraf B']",1978-8-1
['Boettcher B'],1978-1-1
"['Shinohara N', 'Lunney J K', 'Sachs D H']",1978-8-1
"['Ferrara G', 'Tosi R', 'Longo A', 'Castellani A', 'Viviani C', 'Carminati G']",1978-8-1
[],1978-8-12
"['Golomb H M', 'Vardiman J W', 'Rowley J D', 'Testa J R', 'Mintz U']",1978-9-21
['Thorsby E'],1977-1-1
"['Stephenson J R', 'Devare S G', 'Reynolds F H']",1978-1-1
"['Dick H M', 'Wright P', 'Chapman C M', 'Zacharias F J', 'Nicholls J T']",1978-4-1
"['Vartanian M E', 'Kolyaskina G I', 'Lozovsky D V', 'Burbaeva G S', 'Ignatov S A']",1978-1-1
"['Klein D L', 'Perk K', 'Dahlberg J E', 'Brown W', 'Pearson J W']",1978-10-1
"['Lemons R S', 'Nash W G', ""O'Brien S J"", 'Benveniste R E', 'Sherr C J']",1978-8-1
['Gebhart E'],1978-8-31
['Feinstein A R'],1978-9-16
['Burnett C'],1978-9-23
"['Schneider E L', 'Tice R R', 'Kram D']",1978-1-1
['Grigg G W'],1977-1-1
"['Henry G P', 'Peakman D C', 'Robinson A']",1978-9-1
"['Naito S', 'Kuroiwa Y', 'Itoyama T', 'Tsubaki T', 'Horikawa A', 'Sasazuki T', 'Noguchi S', 'Ohtsuki S', 'Tokuomi H', 'Miyatake T', 'Takahata N', 'Kawanami S']",1978-7-1
"['Ramos F', 'Wiame J M']",1978-5-1
"['Gurbanov V P', 'Barkhudarian A S', 'Meshalkina L F']",1978-9-1
"['Hansen T H', 'Sachs D H']",1978-10-1
[],1978-10-1
"['Koshiba H', 'Minowada J', 'Pressman D']",1978-10-1
"['Hinselmann M', 'Ramzin M S']",1978-10-3
"['Gadler H', 'Bremme K', 'Wahren B', 'Hammarström S']",1978-9-1
"['Conner M K', 'Boggs S S', 'Turner J H']",1978-9-11
"['Gebhart E', 'Kappauf H']",1978-9-1
['Moore C W'],1978-9-1
"['Nelson M M', 'Henderson H E', 'Petersen E M', 'Smart R D', 'Harris C', 'Coetzee E J']",1978-8-19
"['Juneja R K', 'Gahne B', 'Sandberg K']",1978-1-1
"['Levy R B', 'Shearer G M', 'Hansen T D']",1978-12-1
"['Miura T', 'Hamaoka T']",1978-9-10
"['Brown K W', 'Harnden D G']",1978-12-9
"['Bishun N P', 'Smith N S', 'Williams D C']",1978-1-1
"['Falchuk Z M', 'Katz A J', 'Shwachman H', 'Rogentine G N', 'Strober W']",1978-1-1
"['Curie-Cohen M', 'Usinger W R', 'Stone W H']",1978-9-1
"['Layrisse Z', 'Heinen H D', 'Simoney N', 'Ramírez F', 'Layrisse M', 'Ramírez-Stoikow Z', 'García E', 'Balbas O']",1978-9-1
"['Converse P J', 'Williams D R']",1978-10-1
"['van Es A A', 'Balner H']",1978-10-1
"['Dausset J', 'Legrand L', 'Lepage V', 'Contu L', 'Marcelli-Barge A', 'Wildloecher I', 'Benajam A', 'Meo T', 'Degos L']",1978-10-1
"['Marcusson J', 'Möller E', 'Rosenthal L', 'Lindwall N', 'Thyresson N']",1978-1-1
"['Constans J', 'Viau M']",1978-10-9
"['Hunter F', 'Mole J E', 'Bennett J C']",1978-1-1
"['Kurvink K', 'Bloomfield C D', 'Keenan K M', 'Levitt S', 'Cervenka J']",1978-10-31
"['Martin W J', 'Gipson T G', 'Conliffe M A', 'Cotton W G', 'Dove L F', 'Rice J M']",1978-8-1
"['Natarajan A T', 'Obe G']",1978-10-1
"['Suciu-Foca N', 'Weiner J', 'Rohowsky C', 'McKiernan P', 'Susinno E', 'Rubinstein P']",1978-12-1
"['Park M S', 'Terasaki P I', 'Bernoco D', 'Iwaki Y']",1978-12-1
"['Prantera G', 'Pimpinelli S', 'Rocchi A']",1979-1-1
"['Nardi I', 'De Lucchini S', 'Barsacchi-Pilone G', 'Andronico F']",1978-12-21
"['Hurwitz R', 'Hozier J', 'LeBien T', 'Minowada J', 'Gajl-Peczalska K', 'Kubonishi I', 'Kersey J']",1979-2-1
"['Kastner D L', 'Rich R R']",1979-1-1
"['Rich S S', 'David C S', 'Rich R R']",1979-1-1
['Kurnit D M'],1979-1-1
"['Décary F', 'van Helden-Henningheim L', 'Westera A', 'van den Berg-Loonen P M', 'Engelfriet C P']",1979-1-1
['Weitkamp L R'],1978-1-1
"['Pasteur N', 'Sinègre G']",1978-10-1
"['Slate D L', 'Ruddle F H']",1979-1-1
"['Andersson P', 'Goldfarb M P', 'Weinberg R A']",1979-1-1
"['Berger R', 'Bernheim A', 'Sasportes M', 'Hauptmann G', 'Hors J', 'Legrand L', 'Fellous M']",1979-3-1
['Hartley-Asp B'],1979-2-3
"['Katano T', 'Yamaoka H', 'Takiguchi T', 'Kadotani T']",1979-2-3
['Coulter J R'],1979-3-17
"['Onody C', 'Kristensen T', 'Lamm L U', 'Gyódi E', 'Petrány G G', 'Bátory G', 'Nemeskéry J']",1978-11-1
"['Murray G C', 'Montiel M M', 'Persellin R H']",1978-11-1
"['Thompson J S', 'Severson C D', 'Mickey M R', 'Braun W E', 'Gatti R A']",1978-11-1
"['Naeim F', 'Keesey J C', 'Herrmann C', 'Lindstrom J', 'Zeller E', 'Walford R L']",1978-11-1
"['Smith C I', 'Hammarström L', 'Möller E', 'Lefvert A K', 'Matell G']",1978-11-1
"['Williams R M', 'Martin S', 'Falchuk K R', 'Trey C', 'Dubey D P', 'Cannady W G', 'Fitzpatrick D', 'Noreen H', 'Dupont B', 'Yunis E J']",1978-1-1
"['Taylor A M', 'Rosney C M', 'Campbell J B']",1979-3-1
['Prodanov P'],1978-1-1
"['Schacter B', 'Muir A', 'Gyves M', 'Tasin M']",1979-4-14
"['Vig B K', 'Lewis R']",1978-1-1
"['Sognier M A', 'Hittelman W N', 'Rao P N']",1979-3-1
"['Hindsley J P', 'Fried F A', 'Avis I', 'Avis F P']",1978-12-1
"['Zurkowski W', 'Lorkiewicz Z']",1978-1-1
['Benzie R J'],1979-3-17
"['MacQueen J M', 'Ottesen E A', 'Weller P F', 'Ottesen C', 'Amos D B', 'Ward F E']",1979-2-1
"['Claas F H', 'Langerak J', 'Sabbe L J', 'van Rood J J']",1979-2-1
['Carvalho A S'],1979-2-1
"['Maurer B A', 'Siwarski D F', 'Neefe J R']",1979-2-1
"['Thomson G', 'Bodmer W']",1979-2-1
"['Chiewsilp P', 'Athkambhira S', 'Chirachariyavej T', 'Bhamarapravati N', 'Entwistle C']",1979-3-1
['Hrebenda J'],1979-1-1
"['Stella M', 'Rossi R', 'Martinucci G B', 'Rossi G', 'Bonfante A']",1978-1-1
"['Marshak-Rothstein A', 'Fink P', 'Gridley T', 'Raulet D H', 'Bevan M J', 'Gefter M L']",1979-6-1
"['Delovitch T L', 'Sohn U']",1979-7-1
"['Parham P', 'Barnstable C J', 'Bodmer W F']",1979-7-1
"['Rosenwasser L J', 'Barcinski M A', 'Schwartz R H', 'Rosenthal A S']",1979-7-1
['Hartley-Asp B'],1979-5-5
"['Raum D', 'Alper C A', 'Stein R', 'Gabbay K H']",1979-6-9
"['Gillberg C', 'Rasmussen P', 'Wahlstrom J']",1979-6-23
"['Harlap S', 'Shiono P', 'Pellegrin F', 'Golbus M', 'Bachman R', 'Mann J', 'Schmidt L', 'Lewis J P']",1979-6-23
[],1979-7-7
"['Bertrams J', 'Baur M P', 'Grüneklee D', 'Gries F A']",1979-7-14
['Board P G'],1979-3-1
"['Rodey G E', 'Fink J', 'Koethe S', 'Schlueter D', 'Witkowski J', 'Bettonville P', 'Rimm A', 'Moore V']",1979-5-1
[],1978-1-1
['Lamm L U'],1978-1-1
"['Oliver N', 'Francke U', 'Pellegrino M A']",1978-1-1
['Marsh W L'],1978-1-1
"['Shalev A', 'Berczi I', 'Hamerton J L']",1978-1-1
"['Shimizu N', 'Dorman B P', 'Ruddle F H']",1978-1-1
"['Welch S G', 'Swindlehurst C A', 'McGregor I A', 'Williams K']",1979-4-17
"['Au W', 'Witek J A']",1979-4-27
"['Parmiani G', 'Ballinari D']",1979-5-15
"['Gerloff R', 'Mieler W', 'Klaer U']",1979-1-1
['Korsgaard R'],1979-1-1
"['Engel E', 'Empson J', 'DeLozier D', 'McGee B', 'da Costa Woodson E', 'Engel-de Montmollin M', 'Carter T', 'Lorber C', 'Cassidy S B', 'Millis J', 'Heller R M', 'Boehm F', 'Vanhooydonk J']",1979-7-7
"['van Es A A', 'Balner H']",1979-4-1
"['Tongio M M', 'Mayer S', 'Hauptmann G', 'North M L', 'Koehl C', 'Abecassis J', 'Mandel P', 'Wertenschlag J']",1979-4-1
"['Ward F E', 'Amos D B', 'de Jongh D', 'Johnson A H']",1979-4-1
"['Zander H', 'Grosse-Wilde H', 'Kuntz B', 'Scholz S', 'Albert E D']",1979-4-1
"['Webster R G', 'Kendal A P', 'Gerhard W']",1979-7-15
"['Guglielmino-Matessi C R', 'Gluckman P', 'Cavalli-Sforza L L']",1979-5-1
['Chautard-Freire-Maia E A'],1979-5-23
"['Novotná B', 'Goetz P', 'Surkova N I']",1979-5-23
['Hoste B'],1979-1-1
"['Di Berardino D', 'Arrighi F E', 'Kieffer N M']",1979-1-1
"['Claflin J L', 'Wei S P']",1979-9-1
"['Kastner D L', 'Rich R R', 'Shen F W']",1979-9-1
"['Högstedt B', 'Kolnig A M', 'Mitelman F', 'Schütz A']",1979-8-4
"['Harper P S', 'Walker D A', 'Tyler A', 'Newcombe R G', 'Davies K']",1979-8-18
"['Trent J M', 'Davis J R']",1979-8-18
"['Weitkamp L R', 'Barbosa J', 'Guttormsen S A', 'Johnson S']",1979-8-18
"['Polani P E', 'Benson P F', 'Blunt S', 'Seller M J', 'Coltart T']",1979-8-25
"['Park M S', 'Terasaki P I', 'Ahmed A R', 'Tiwari J L']",1979-9-1
"['Ahmed A', 'Subbarao B', 'Scher I', 'Ryan J J', 'Paul W', 'Mosier D E', 'Sell K W']",1979-6-1
['Białkowska-Hobrzańska H'],1979-1-1
"['Kueppers F', 'Harpel B']",1979-1-1
"['Pelkonen J L', 'Kaartinen M', 'Karjalainen K', 'Mäkelä O']",1979-10-1
"['Galloway S M', 'Wolff S']",1979-7-1
['Vig B K'],1979-7-1
"['Littlefield L G', 'Colyer S P', 'Sayer A M', 'Dufrain R J']",1979-7-1
"['Stendahl-Brodin L', 'Link H', 'Möller E', 'Norrby E']",1979-6-1
['Weatherall D J'],1979-8-11
"['Romain D R', 'Columbano-Green L', 'Smythe R H', 'Dukes P C']",1979-9-1
"['Haseltine W A', 'Coffin J M']",1979-1-1
"['Bishun N P', 'Valera N', 'Williams D C']",1978-1-1
"['Hoo J J', 'Parslow M I']",1979-6-21
['Matthews A G'],1979-7-1
"['Snoek M', 'Démant P']",1979-8-1
['Kimberling W J'],1979-4-1
"['Deschamps I', 'Lestradet H', 'Marcelli-Barge A', 'Benajam A', 'Busson M', 'Hors J', 'Dausset J']",1979-10-13
"['Lawler S D', 'Summersgill B M', 'Clink H M', 'McElwain T J']",1979-10-20
"['Bernal J E', 'Ellis D A', 'Haigh J']",1979-11-3
"['Gigon U', 'Haldemann R']",1979-9-28
"['Shiraishi Y', 'Yamamoto K', 'Sandberg A A']",1979-8-1
"['Legge M', 'Stewart C R', 'Willocks D L']",1979-8-8
['Caldwell J'],1979-5-1
"['Barnstable C J', 'Snary D', 'Crumpton M J', 'Bodmer W F']",1979-5-1
"['de Moerloose P', 'Jeannet M', 'Martins-da-Silva B', 'Werner-Favre C', 'Rohr J', 'Gauthier G']",1979-5-1
"['Chan S H', 'Wee G B', 'Srinivasan N', 'Glen S P', 'Cheng P', 'Vengadasalam D', 'Alano F A', 'Simons M J']",1979-5-1
"['Duquesnoy R J', 'MacDonald M J', 'Mullins P', 'Hackbarth S A', 'Traisman H S', 'Levitsky L L']",1979-5-1
"['Décary F', 'van Helden-Henningheim L', 'van Griethuysen D', 'Helmerhorst F M', 'van der Werf A J', 'Engelfriet C P']",1979-7-1
"['Fauchet R', 'Genetet N', 'Genetet B', 'Simon M', 'Bourel M']",1979-7-1
['Singal D P'],1979-7-1
"['Schreuder I', 'Nagtegaal-Bos A']",1979-7-1
"['Nakai Y', 'Kano T', 'Asanuma T', 'Moriuchi J', 'Wakisaka A', 'Aizawa M', 'Itakura K']",1979-7-1
"['Busson M', 'Hors J', 'Dausset J']",1979-7-1
"['Buc M', 'Nyulassy S', 'Hnilica P', 'Busová B', 'Stefanovic J']",1979-7-1
"['Varpela E', 'Tiilikainen A', 'Varpela M', 'Tukiainen P']",1979-7-1
"['Duquesnoy R J', 'Marrari M', 'Annen K', 'Pollack M S', 'Dupont B']",1979-8-1
"['Gunn I', 'Leheny W', 'Lakshmipathi T', 'Lamont M A', 'Faed M']",1979-8-1
"['Wagner M M', 'Darke C']",1979-8-1
"['de Moerloose P', 'Jeannet M', 'Mirimanoff P', 'Bouvier C A']",1979-8-1
"['Stewart G J', 'Basten A', 'Kirk R L']",1979-8-1
"['Weissmann J', 'Tsuji T', 'Pribilla O']",1979-7-17
